User_Name,Five_most_used_Theme,Category
86.197.133.252,{'300 (bande dessinée)': 1},300 (bande dessinée)
86.197.141.17,{'300 (film)': 1},300 (film)
86.198.126.113,{'Thémistocle': 1},Thémistocle
86.198.162.208,"{'Jennifer Garner': 5, 'Very Bad Trip': 4, 'Catégorie:Film de Legendary Pictures': 3, 'Mariage Express': 3, 'Zack et Miri font un porno': 3}",300 (film)
86.198.19.89,{'Guerres médiques': 1},Guerres médiques
86.198.31.149,"{'Justin Chadwick': 2, 'Bataille de Salamine': 2}",Bataille de Salamine
86.199.126.2,"{'Bataille des Thermopyles': 3, 'Théo': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
86.200.175.191,"{'7e régiment de tirailleurs algériens': 1, 'Mirefleurs': 1, 'Spartatouille': 1}",Spartatouille
86.200.243.75,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.201.190.132,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
86.201.204.133,{'Bataille des Thermopyles': 2},"Bataille des Thermopyles,Bataille des Thermopyles"
86.201.94.249,"{'Safran Helicopter Engines': 3, 'Pau': 2, 'Beaumont': 2, 'Boulevard des Pyrénées': 2, '300 (film)': 1}",300 (film)
86.202.195.195,"{""Royaume d'Aragon"": 2, 'Léonidas Ier de Sparte': 1}",Léonidas Ier de Sparte
86.204.65.215,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.205.118.118,"{'Union pour un mouvement populaire': 5, 'Thémistocle': 1}",Thémistocle
86.205.200.44,"{'Spartatouille': 6, 'Andy Goode': 1}",Spartatouille
86.206.141.243,{'300 (bande dessinée)': 1},300 (bande dessinée)
86.207.205.147,{'Thémistocle': 1},Thémistocle
86.208.50.102,"{'Bataille de Marathon': 1, 'Bertrand Cantat': 1}",Bataille de Marathon
86.208.83.94,{'Thémistocle': 1},Thémistocle
86.210.100.99,"{'One Piece': 4, 'Bataille de Salamine': 1}",Bataille de Salamine
86.210.248.98,"{'Hurricanes': 1, 'Crusaders': 1, 'Spartatouille': 1}",Spartatouille
86.210.67.159,"{'Bellerose (marque)': 1, 'Les Perses': 1}",Les Perses
86.211.238.189,{'Guerres médiques': 1},Guerres médiques
86.212.124.235,{'300 (bande dessinée)': 1},300 (bande dessinée)
86.212.244.231,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.212.86.124,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.213.34.161,"{'Léonidas Ier de Sparte': 1, 'Case départ (film, 2011)': 1}",Léonidas Ier de Sparte
86.213.76.147,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
86.214.150.63,{'Hippias (tyran)': 1},Hippias (tyran)
86.215.94.92,{'Bataille des Thermopyles': 3},"Bataille des Thermopyles,Bataille des Thermopyles"
86.217.57.209,{'Guerres médiques': 1},Guerres médiques
86.218.11.124,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.218.38.10,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
86.220.188.248,{'Darius Ier': 1},Darius Ier
86.220.67.175,{'300 (film)': 1},300 (film)
86.228.102.99,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.242.24.48,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
86.250.202.68,"{'Santa et Cie': 2, 'Chucky, la poupée de sang': 2, 'Maman, je suis seul contre tous': 1, 'Pyramide (film)': 1, 'No More Heroes: Desperate Struggle': 1}",Spartatouille
86.65.236.121,"{'Préciosité': 5, 'Baroque': 3, 'ITER': 3, 'Panathénées': 3, 'Mouvement des chômeurs': 2}",Guerres médiques
86.66.129.226,"{""Jeux d'hiver de l'Arctique"": 2, 'FIFA Online 3': 2, 'Challenge européen de rugby à XV': 1, 'Léonidas Ier de Sparte': 1, 'Congo français': 1}",Léonidas Ier de Sparte
86.68.178.208,"{'Thèse mythiste (Jésus)': 1, 'Quête du Jésus historique': 1, 'Les Perses': 1, 'Wahhabisme': 1}",Les Perses
86.69.114.91,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
86.69.29.242,"{'Ordre du jour Grandi': 7, 'Johnny Clegg': 5, 'Philopœmen': 4, 'Agrippa II': 3, 'Aristides Pereira': 3}",Thémistocle
86.71.218.86,"{'Conseil municipal (France)': 1, '300 (film)': 1}",300 (film)
86.71.93.125,"{'Léonidas Ier de Sparte': 2, 'Léon Trotski': 2, 'Jeunes Radicaux': 2, 'Brass band': 1}",Léonidas Ier de Sparte
86.72.179.106,{'Léonidas Ier de Sparte': 2},Léonidas Ier de Sparte
86.72.197.100,"{'Olivier Metzner': 23, 'Alpes': 12, 'René Benjamin': 7, ""Liste des genres d'Arecaceae"": 6, 'Laurence Parisot': 5}",Darius Ier
86.73.196.29,"{'Phidippidès': 1, 'Appareil digestif aviaire': 1, 'Jabot (oiseau)': 1}",Phidippidès
86.73.199.175,{'Thermopyles': 1},Thermopyles
87.100.50.96,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
87.141.41.39,"{'Bataille des Thermopyles': 2, 'Léonidas aux Thermopyles': 1}","Bataille des Thermopyles,Bataille des Thermopyles,Léonidas aux Thermopyles"
87.144.7.234,{'Guerres médiques': 1},Guerres médiques
87.231.35.134,"{'Graal': 1, 'Thermopyles': 1}",Thermopyles
87.231.40.166,{'Rue des Thermopyles': 1},Rue des Thermopyles
87.66.181.57,{'Léonidas aux Thermopyles': 1},Léonidas aux Thermopyles
87.66.38.176,"{'Éléphant de guerre': 1, 'Temple de Jupiter capitolin': 1, 'Sumer': 1, 'Tour de Babel': 1, 'Canal de Xerxès': 1}",Canal de Xerxès
87.89.172.128,{'Phidippidès': 2},Phidippidès
87.89.190.190,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
87.89.48.22,"{'Jordy': 6, 'Géographie de la Suède': 4, 'Kalash (groupe)': 2, 'Buchanan': 2, 'Cinquième colonne': 2}",Thémistocle
87.90.33.177,{'Bataille de Salamine': 1},Bataille de Salamine
87.90.34.160,"{'Méiose': 2, 'Jean Siméon Chardin': 2, ""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
88.120.157.15,"{'Royaume-Uni': 11, 'Kabaddi': 9, 'Équipe du Salvador de beach soccer': 6, 'Club Deportivo FAS': 5, 'Santa Ana (Salvador)': 5}",Les Perses
88.120.49.44,"{'Saison 3 de Star Wars Rebels': 11, 'Saison 8 de NCIS : Los Angeles': 7, 'Star Wars Rebels': 4, 'Defcon: Everybody Dies': 3, 'Transformers: The Last Knight': 3}",300 : La Naissance d'un empire
88.121.105.169,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
88.121.125.210,{'Xerxès Ier': 1},Xerxès Ier
88.121.207.179,{'300 (film)': 1},300 (film)
88.124.92.225,{'Bataille de Salamine': 1},Bataille de Salamine
88.136.13.72,"{'Championnat de France de football 2019-2020': 1, 'Bataille de Marathon': 1}",Bataille de Marathon
88.136.218.45,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
88.138.170.108,{'300 (film)': 1},300 (film)
88.141.27.104,{'Bataille de Salamine': 1},Bataille de Salamine
88.142.161.104,"{'Léonidas Ier de Sparte': 1, 'Acomys': 1}",Léonidas Ier de Sparte
88.156.27.176,"{'Sienna Guillory': 1, 'La Bataille des Thermopyles': 1, ""L'Arnaque"": 1, 'La Castagne (film, 1977)': 1, 'George Roy Hill': 1}",La Bataille des Thermopyles
88.157.72.206,"{'En liberté !': 4, 'Gameblog': 3, 'Ça : Chapitre 2': 3, 'The Disaster Artist': 3, 'Ready Player One (film)': 3}",300 (film)
88.160.144.235,"{'Bataille de Salamine': 1, 'Clément Ader': 1, 'Parachute': 1}",Bataille de Salamine
88.160.241.112,"{'Stade français (basket-ball)': 4, 'Association sportive de Monaco (basket-ball)': 3, 'Liste de salles de basket-ball en France': 3, 'Angry Birds (jeu vidéo)': 3, 'Filippo Inzaghi': 3}",Guerres médiques
88.161.134.113,"{'Capitales européennes (timbre)': 2, 'Bataille de Marathon': 1, 'Issa Doumbia': 1, 'Nappe phréatique': 1}",Bataille de Marathon
88.161.134.239,"{'Ouagadougou': 2, 'Night World': 1, 'Bataille de Marathon': 1, ""Cycle de l'eau"": 1}",Bataille de Marathon
88.162.105.104,"{'Paul Klee': 2, 'Bataille de Salamine': 1}",Bataille de Salamine
88.162.228.220,"{'300 (bande dessinée)': 1, '300 (film)': 1}",300 (bande dessinée)
88.162.33.66,"{'Bataille de Salamine': 1, 'Maison de la sagesse': 1, 'Al-Jahiz': 1, 'Philologie': 1, 'Lexicographie': 1}",Bataille de Salamine
88.164.246.172,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
88.165.224.69,"{'Labyrinthe membraneux': 2, 'Philippe V (roi de Macédoine)': 2, 'Pollution sonore': 1, 'Le Hussard sur le toit': 1, 'SpiderOak': 1}",Guerres médiques
88.165.36.5,"{""Chambre d'ambre"": 4, 'Tenerife': 1, 'Régimes spéciaux de retraite': 1, '4e régiment de tirailleurs tunisiens': 1, 'La Bataille des Thermopyles': 1}",La Bataille des Thermopyles
88.166.5.159,"{'Léonidas Ier de Sparte': 1, 'United States Marine Corps': 1}",Léonidas Ier de Sparte
88.166.51.98,"{'Bataille de Salamine': 1, 'Artiste peintre': 1}",Bataille de Salamine
88.168.252.115,"{'ISO 22000': 6, 'Les Fourberies de Scapin': 1, 'Bataille de Marathon': 1, 'Fonction trigonométrique': 1}",Bataille de Marathon
88.170.128.240,"{'Saoirse Ronan': 2, 'Liste des villes et villages fleuris de France': 2, 'Lac de barrage': 2, 'Thelma, Louise et Chantal': 1, 'Volvo 940': 1}",Spartatouille
88.170.97.165,"{'Bataille des Thermopyles': 2, 'Noémie': 1, 'Jenna Haze': 1, 'Bataille de Salamine': 1}",Bataille de Salamine
88.171.144.83,"{""Charles IV (roi d'Espagne)"": 2, 'Labdacos': 1, 'Zugarramurdi': 1, 'Captain America: Civil War': 1, 'Felix Mendelssohn': 1}",Les Perses
88.171.96.58,{'Bataille de Salamine': 1},Bataille de Salamine
88.172.145.150,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
88.174.103.32,"{'Modèle cosmologique bi-métrique': 120, 'Jean-Pierre Petit': 57, 'Anselme Lanturlu': 33, ""Laboratoire européen d'anticipation politique"": 29, 'Andreï Sakharov': 12}","Bataille des Thermopyles,Bataille des Thermopyles"
88.175.42.21,{'Léonidas Ier de Sparte': 2},Léonidas Ier de Sparte
88.176.161.208,"{'Habemus papam': 10, 'Khédive': 3, 'Olympe de Gouges': 3, ""Mémoire de l'eau"": 2, 'Michel Houellebecq': 2}",Canal de Xerxès
88.176.32.241,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
88.177.133.153,{'Bataille de Marathon': 1},Bataille de Marathon
88.177.147.31,{'Guerres médiques': 2},Guerres médiques
88.178.134.187,{'Bataille de Marathon': 1},Bataille de Marathon
88.179.50.6,{'Xanthippe (père de Périclès)': 2},Xanthippe (père de Périclès)
88.182.191.69,"{""Bombardements atomiques d'Hiroshima et de Nagasaki"": 1, 'Léonidas Ier de Sparte': 1}",Léonidas Ier de Sparte
88.184.216.201,"{'Pistolet (arme)': 1, 'Husseren-les-Châteaux': 1, 'Le Chat': 1, 'Guerres médiques': 1, 'Nature morte à la chaise cannée': 1}",Guerres médiques
88.185.77.133,"{'IPhone': 1, 'Divortialité': 1, 'Bataille de Marathon': 1, 'Tommy Ingemarsson': 1}",Bataille de Marathon
88.187.196.168,"{'Meseta': 2, 'David Pajo': 2, ""Drapeau de l'Espagne"": 2, 'Refused': 1, 'Thierry Saussez': 1}",Xerxès Ier
88.187.36.170,"{'Siège de Jérusalem (587/586 av. J.-C.)': 2, 'Bataille de Marathon': 1}",Bataille de Marathon
88.188.200.27,"{""Bataille de l'Eurymédon"": 3, 'Samarra': 3, 'Daisy (spot publicitaire)': 1, 'Portail:Grèce antique': 1, 'Foucher de Chartres': 1}",Bataille de l'Eurymédon
88.188.252.8,{'Bataille de Marathon': 1},Bataille de Marathon
88.189.56.194,"{'Jacques Laurent': 4, 'Carême du rite byzantin': 3, 'Roland Laudenbach': 2, 'Front yougoslave de la Seconde Guerre mondiale': 2, 'Monument de la reconnaissance à la France': 2}",300 : La Naissance d'un empire
88.191.177.4,"{'Bataille de Marathon': 2, 'Apollon': 1}",Bataille de Marathon
88.75.202.146,{'Darius Ier': 1},Darius Ier
88.90.62.5,{'Phidippidès': 1},Phidippidès
89.144.169.212,{'300 (film)': 1},300 (film)
89.156.249.224,"{'Pasquier': 3, ""300 : La Naissance d'un empire"": 1, 'Pierre Pasquier': 1}",300 : La Naissance d'un empire
89.159.41.20,"{'Donald Trump': 2, 'Jacques Salomé': 1, 'La Machine infernale': 1, 'Guerres médiques': 1, 'Ligue de Délos': 1}",Guerres médiques
89.185.182.139,"{'EMule': 3, '300 (film)': 2, 'Charmed': 2, 'Chine/Historique': 1}",300 (film)
89.2.101.40,"{'Démocède': 2, 'Darius Ier': 1}",Darius Ier
89.2.150.22,"{'Michael Myers': 2, 'Mom and Dad (film, 2017)': 1, 'Guerres médiques': 1}",Guerres médiques
89.2.177.12,{'Thémistocle': 1},Thémistocle
89.217.147.112,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
89.226.199.101,"{'Xerxès Ier': 1, 'Wizz et Buzz': 1, 'Enrico Dandolo': 1}",Xerxès Ier
89.226.67.25,"{'Buffalo Springfield': 3, 'Mafiosa': 2, 'Al Kooper': 2, 'The Monkees': 1, 'Jackson Browne': 1}",Xerxès Ier
89.227.129.57,{'Bataille de Marathon': 1},Bataille de Marathon
89.3.236.73,"{'Léonidas Ier de Sparte': 3, 'Prise de soumission (catch)': 2, 'Histoire de Lille': 1, 'Absolutisme': 1, 'Bande criminelle': 1}",Léonidas Ier de Sparte
89.82.171.67,"{'Prévost': 3, 'Métal précieux': 3, 'Polybe (affranchi)': 2, 'Léonidas Ier de Sparte': 2, 'Richard II': 2}",Léonidas Ier de Sparte
89.83.128.197,{'Léonidas Ier de Sparte': 4},Léonidas Ier de Sparte
89.83.18.150,"{'Asharq al-Awsat': 12, 'Saab JAS 39 Gripen': 8, 'Planeur': 7, 'Opium': 6, 'Nikâh al Misyar': 5}",Darius Ier
89.85.56.58,{'Thémistocle': 2},Thémistocle
89.86.148.143,"{'Battleground (2013)': 2, ""My Little Pony : Les amies, c'est magique"": 2, ""La grande question sur la vie, l'Univers et le reste"": 2, 'Cruauté envers les animaux': 1, 'Panzerkampfwagen 35(t)': 1}",Guerres médiques
89.87.110.227,{'Xerxès Ier': 1},Xerxès Ier
89.88.101.174,"{'Call of Duty 2': 1, ""Le diable s'habille en Prada (film)"": 1, 'Liste de cités grecques': 1, ""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
89.89.120.29,{'Bataille de Salamine': 1},Bataille de Salamine
89.92.155.60,"{""Bataille de l'Eurymédon"": 1}",Bataille de l'Eurymédon
89.92.207.28,"{'Les Perses': 2, 'La Machine infernale': 1}",Les Perses
89.93.182.71,{'Thémistocle': 1},Thémistocle
89.93.40.146,"{'Iker Casillas': 2, 'Éphialtès de Trachis': 2, 'Diego (football, 1985)': 1}",Éphialtès de Trachis
89.93.51.114,{'Bataille de Marathon': 2},Bataille de Marathon
90.0.244.78,"{'Guerres médiques': 1, 'Judas (homonymie)': 1}",Guerres médiques
90.105.112.74,{'Les Perses': 2},Les Perses
90.11.8.241,{'Bataille de Platées': 1},Bataille de Platées
90.12.18.247,"{""300 : La Naissance d'un empire"": 1, 'Logica': 1}",300 : La Naissance d'un empire
90.12.19.83,"{'300 (film)': 1, ""300 : La Naissance d'un empire"": 1}","300 : La Naissance d'un empire,300 (film)"
90.13.249.14,"{'Michael Wittmann': 1, 'Affacturage inversé': 1, 'Canton de Thurgovie': 1, 'Primauté pontificale': 1, 'Superantigène': 1}",Bataille de Platées
90.14.100.222,{'Guerres médiques': 1},Guerres médiques
90.17.131.96,{'Phidippidès': 1},Phidippidès
90.17.225.214,"{""Bataille de l'Artémision"": 1}",Bataille de l'Artémision
90.17.241.58,{'300 (film)': 1},300 (film)
90.18.7.215,"{'Guerres médiques': 2, 'Bataille de Marathon': 1}","Guerres médiques,Bataille de Marathon"
90.19.20.120,"{'Supermarket Lady': 3, ""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
90.19.240.71,{'Les Perses': 1},Les Perses
90.19.9.182,{'Bataille de Salamine': 1},Bataille de Salamine
90.2.190.181,"{'Charité romaine': 4, 'Valère Maxime': 1, 'Cimon': 1, 'Théodore Studite': 1}",Cimon
90.20.230.140,"{'Jean Jaurès': 1, 'PalaEstra': 1, 'Liste de thermes romains': 1, 'Thermes romains': 1, 'Bataille des Thermopyles': 1}","Bataille des Thermopyles,Bataille des Thermopyles"
90.21.87.212,{'Léonidas Ier de Sparte': 4},Léonidas Ier de Sparte
90.25.243.39,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
90.25.91.124,"{'Fullmetal Alchemist': 1, 'Xerxès Ier': 1}",Xerxès Ier
90.26.199.213,"{'Anaxagore': 1, ""Bataille de l'Eurymédon"": 1, 'Simonide de Céos': 1, 'Empédocle': 1, 'Cimon': 1}","Bataille de l'Eurymédon,Cimon,Léonidas Ier de Sparte,Mégabaze"
90.26.255.47,"{""Trésor d'Auriol"": 2, 'Cyrus le Jeune': 1, 'Callicratidas': 1, 'Darius II': 1, 'Hermocrate': 1}","Paix de Callias,Cimon"
90.29.150.205,{'Guerres médiques': 4},Guerres médiques
90.29.2.213,"{'Guerre du Péloponnèse': 2, 'Bataille de Salamine': 1}",Bataille de Salamine
90.29.36.30,"{'Loi de Hooke': 1, 'Guerres médiques': 1}",Guerres médiques
90.3.123.178,{'300 (film)': 1},300 (film)
90.3.213.38,"{'Bataille de Marathon': 4, 'Gene Colan': 1}",Bataille de Marathon
90.3.248.119,{'Première guerre médique': 1},Première guerre médique
90.3.7.53,{'300 (film)': 1},300 (film)
90.30.95.53,"{'Bataille de Salamine': 1, 'Bataille des Thermopyles': 1, 'Bataille de Marathon': 1, 'Bataille de Reichenberg': 1, ""Bataille d'Austerlitz"": 1}","Bataille de Marathon,Bataille de Salamine,Bataille des Thermopyles,Bataille des Thermopyles"
90.31.36.242,"{'Star Wars': 1, ""300 : La Naissance d'un empire"": 1, 'Cendrillon': 1, 'Pinocchio': 1, ""C dans l'air"": 1}",300 : La Naissance d'un empire
90.32.152.196,{'300 (film)': 1},300 (film)
90.32.197.124,{'300 (film)': 2},300 (film)
90.33.201.115,"{'Plan Paulson': 17, 'Séjan': 3, 'Dyspepsie': 1, 'Pélopidas': 1, 'Sarpédon': 1}",Xerxès Ier
90.33.27.217,{'Bataille de Salamine': 2},Bataille de Salamine
90.33.41.115,"{'Mardonios': 2, 'Callimaque le Polémarque': 1, 'Hippias (tyran)': 1, 'Scylax de Caryanda': 1, 'Aristodemos Malakos': 1}","Mardonios,Callimaque le Polémarque,Hippias (tyran),Miltiade le Jeune"
90.34.151.90,"{'Kate Beckinsale': 42, 'Laurel Canyon (film, 2002)': 10, 'Underworld (série de films)': 9, 'Fragments (film, 2008)': 6, 'Underworld 2 : Évolution': 6}",300 (film)
90.34.255.59,"{'Click : Télécommandez votre vie': 41, 'Kate Beckinsale': 8, 'Underworld : Nouvelle Ère': 4, 'Kristen Wiig': 3, 'Mes meilleures amies': 3}",300 (film)
90.35.28.234,{'300 (bande dessinée)': 1},300 (bande dessinée)
90.37.155.111,"{'Carpe diem': 1, 'Léonidas Ier de Sparte': 1}",Léonidas Ier de Sparte
90.37.42.77,{'Bataille de Salamine': 1},Bataille de Salamine
90.38.169.83,{'Darius Ier': 1},Darius Ier
90.39.168.21,{'Bataille de Marathon': 3},Bataille de Marathon
90.4.206.223,"{""Saison 2014-2015 de l'ASM Clermont Auvergne"": 14, 'Championnat de France de rugby à XV 2014-2015': 2, 'Bataille de Salamine': 1}",Bataille de Salamine
90.41.197.63,{'Xerxès Ier': 3},Xerxès Ier
90.42.221.192,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
90.44.2.187,"{'Famille Camondo': 15, 'Yona Metzger': 13, 'Famille Depardieu': 10, 'Émission de débat': 9, 'Paul Cottin': 9}",300 : La Naissance d'un empire
90.45.129.217,{'Spartatouille': 3},Spartatouille
90.46.105.90,"{'Démétrios Ier Poliorcète': 3, 'Antigone II Gonatas': 3, 'Darius III': 2, 'Philippe Ier (roi séleucide)': 2, 'Antiochos VIII': 2}","Darius Ier,Xerxès Ier"
90.46.188.168,{'Guerres médiques': 1},Guerres médiques
90.46.236.8,{'La Bataille des Thermopyles': 2},La Bataille des Thermopyles
90.46.9.163,"{""300 : La Naissance d'un empire"": 1}",300 : La Naissance d'un empire
90.5.153.140,"{'Lacedaimonius': 2, 'Cimon': 1, 'Isis Taylor': 1, 'Smallville': 1}",Cimon
90.5.48.60,"{'Canal de Xerxès': 2, 'Golfe Singitique': 1, 'Otto Reinhold Jacobi': 1, 'Michel Ohl': 1, 'Attentats de mars 2012 en France': 1}",Canal de Xerxès
90.50.144.31,"{'Miltiade le Jeune': 1, 'Robert L. May': 1, 'John Connolly (écrivain)': 1}",Miltiade le Jeune
90.50.211.159,"{""Lance d'incendie"": 1, 'Spartatouille': 1}",Spartatouille
90.50.246.179,"{'Xerxès Ier': 2, 'Henri Pigaillem': 1, 'Guerres médiques': 1}",Xerxès Ier
90.51.210.78,{'Bataille de Marathon': 1},Bataille de Marathon
90.51.235.213,{'La Bataille des Thermopyles': 1},La Bataille des Thermopyles
90.52.71.241,{'Spartatouille': 2},Spartatouille
90.53.75.172,{'Bataille des Thermopyles': 1},"Bataille des Thermopyles,Bataille des Thermopyles"
90.56.37.16,{'Les Perses': 1},Les Perses
90.58.220.94,{'300 (bande dessinée)': 1},300 (bande dessinée)
90.60.105.200,"{'Bataille de Salamine': 2, 'Liste des aires urbaines les plus peuplées du monde': 2}",Bataille de Salamine
90.60.239.86,{'Bataille de Salamine': 3},Bataille de Salamine
90.61.149.158,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
90.61.224.131,"{'Hifly': 3, 'Xerxès Ier': 2}",Xerxès Ier
90.61.239.59,"{'Jean-Michel Folon': 9, 'Éditions M.R': 8, 'Steeve Briois': 5, 'Troisième Temple de Jérusalem': 3, 'Shalom': 3}",300 : La Naissance d'un empire
90.62.182.192,"{'Thémistocle': 1, 'Plante annuelle': 1}",Thémistocle
90.63.109.65,"{'René Viénet': 2, 'Tristan Tzara': 2, 'Xerxès Ier': 1, 'Marie-Christine de Montbrial': 1, 'Gérard Lebovici': 1}",Xerxès Ier
90.7.154.41,{'300 (film)': 1},300 (film)
90.8.133.44,"{'Bataille du cap Mycale': 1, 'Anne Frank': 1, 'Eminem': 1}",Bataille du cap Mycale
90.8.190.52,{'Bataille de Marathon': 1},Bataille de Marathon
90.83.27.33,"{'Tabagisme': 7, ""Respect (chanson d'Otis Redding)"": 6, ""Cour d'assises (France)"": 5, 'Relais 4 × 100 mètres': 4, 'Romulus et Rémus': 3}",Thémistocle
90.85.6.139,"{'Famille Belosselsky-Belozersky': 4, 'Guillaume Lambert (haut fonctionnaire)': 4, 'Vert-le-Petit': 4, ""Histoire de l'Iran"": 3, 'Lotf Ali Khan Zand': 3}",Darius Ier
90.87.214.1,{'Guerres médiques': 1},Guerres médiques
90.9.192.7,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
90.9.231.40,{'Bataille de Marathon': 2},Bataille de Marathon
90.9.61.42,{'Bataille de Marathon': 1},Bataille de Marathon
91.132.185.18,"{'300 (film)': 5, 'Naxos': 1, 'Douris de Samos': 1}",300 (film)
91.135.176.215,"{'Croyances des anciens scandinaves et germains': 12, 'Nassim': 9, '18th Street Gang': 6, 'Banque BCP': 4, 'Rouen': 4}",Bataille de Marathon
91.163.3.88,{'Xerxès Ier': 2},Xerxès Ier
91.164.237.3,{'Bataille de Platées': 1},Bataille de Platées
91.165.137.242,{'Xerxès Ier': 3},Xerxès Ier
91.171.16.119,"{'Thémistocle': 1, 'Hermocopides': 1}",Thémistocle
91.172.119.50,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
91.172.154.185,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
91.173.109.88,{'Bataille de Salamine': 1},Bataille de Salamine
91.177.227.65,{'Darius Ier': 1},Darius Ier
91.178.175.151,"{'Spartatouille': 1, 'Flubber': 1}",Spartatouille
91.178.53.176,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
91.179.141.48,{'Xerxès Ier': 2},Xerxès Ier
91.197.170.85,"{'100 kilomètres': 6, 'Mangiarotti': 4, 'Paavo Nurmi': 4, ""Modèle:Palette Épreuves d'athlétisme"": 3, '24 heures (course à pied)': 3}",Phidippidès
91.68.192.117,"{'Pyrrhique': 3, 'Paix de Callias': 1}",Paix de Callias
91.91.124.50,"{'Gulli': 15, 'Kids United': 12, 'The Grudge (film, 2020)': 11, 'Hunger Games (série littéraire)': 8, 'The Grudge 2': 8}","300 : La Naissance d'un empire,300 (film)"
92.103.141.109,"{'Automobile Club Association': 13, 'Loi relative au mécénat, aux associations et aux fondations': 2, 'Automobile Club de France': 1, 'MC Solaar': 1, 'Les Perses': 1}",Les Perses
92.103.144.30,"{""Fabrication de l'acier"": 5, 'Mécène': 5, '300 (film)': 4, 'Chaptalisation': 3, 'Bataille du Chemin des Dames': 3}",300 (film)
92.103.148.121,"{'Bataille de Tondibi': 12, 'Liste des titres de duc dans la noblesse britannique': 9, 'Siège de Godesberg': 9, 'Liste des dirigeants des régions danoises': 8, 'Maison Piast': 7}",Bataille de Platées
92.103.164.13,"{'Kahl-Burg': 8, 'Domaine national français en Terre sainte': 6, 'H2O (série télévisée)': 4, 'Anatole Mangin': 4, 'Expédition de Morée': 4}",Les Perses
92.104.108.6,"{'Alta Vendita': 12, ""B'nai B'rith"": 5, 'Henri Delassus': 4, 'Catégorie:Carbonarisme': 2, 'Captain Sensible': 1}",Hypérantès
92.128.128.191,{'Bataille de Salamine': 2},Bataille de Salamine
92.128.57.18,"{'Andrew Tiernan': 3, 'Éphialtès de Trachis': 1}",Éphialtès de Trachis
92.129.171.24,{'Bataille de Marathon': 2},Bataille de Marathon
92.130.51.24,{'Bataille de Marathon': 1},Bataille de Marathon
92.132.202.250,{'Bataille de Marathon': 2},Bataille de Marathon
92.132.219.126,{'300 (film)': 1},300 (film)
92.133.102.57,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
92.133.94.246,"{'Vinzenz Kiefer': 1, '300 (film)': 1, ""Film d'horreur"": 1}",300 (film)
92.134.159.12,"{'Union sportive dacquoise (féminines)': 1, 'Léonidas Ier de Sparte': 1}",Léonidas Ier de Sparte
92.135.232.187,{'300 (film)': 2},300 (film)
92.136.15.87,{'Léonidas Ier de Sparte': 1},Léonidas Ier de Sparte
92.136.99.186,{'Guerres médiques': 3},Guerres médiques
92.139.134.71,{'Bataille de Salamine': 2},Bataille de Salamine
92.139.162.39,{'Bataille de Marathon': 1},Bataille de Marathon
92.140.154.205,{'Bataille de Marathon': 1},Bataille de Marathon
92.145.227.27,{'Bataille de Salamine': 2},Bataille de Salamine
92.145.34.163,{'Guerres médiques': 1},Guerres médiques
92.147.85.172,{'Bataille de Marathon': 1},Bataille de Marathon
92.148.98.233,{'300 (film)': 1},300 (film)
92.149.238.199,{'Xerxès Ier': 1},Xerxès Ier
92.151.118.16,"{'Médisme': 1, 'Guerres médiques': 1}",Guerres médiques
92.153.187.251,{'Guerres médiques': 1},Guerres médiques
